title	doi	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis	created	deposited	published.online	indexed	issue	issued	member	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	type	volume	short.container.title	published.print	language	page	update.policy	archive	subtitle	archive_	na.
Aproveitamento Integral de Alimentos e o seu Impacto na Saúde	10.18472/sustdeb.v6n3.2015.16105	http://dx.doi.org/10.18472/sustdeb.v6n3.2015.16105	NA	Sustainability in Debate	NA	NA	NA	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Fabiane Toste Cardoso, Silvana Camello Fróes, Reis Friede, Maria Geralda De Miranda, Carla Junqueira Chagas, Kátia Eliane Santos Avelar	2179-9067,2177-7675	3	0.8	0.202	B2	2015-12-24	2022-09-16	2015-12-23	2022-09-17	3	2015-12-23	7730	10.18472	Editora de Livros IABS	1	Crossref	0	0	3	Management, Monitoring, Policy and Law,Development	journal-article	6	SustDeb	NA	NA	131-143	NA	NA	NA	NA	NA
ASPECTOS DA AQUICULTURA E SUA IMPORTÂNCIA NA PRODUÇÃO DE ALIMENTOS DE ALTO VALOR BIOLÓGICO	10.15202/1981996x.2017v11n2p28	http://dx.doi.org/10.15202/1981996x.2017v11n2p28	NA	Semioses	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Silvia Conceição Reis Pereira Mello, Elaine Da Conceição Pinto de Oliveira, Jose Teixeira de Seixas Filho	1981-996X	1	NA	NA	B3	2017-10-30	2017-10-30	2017-10-27	2022-04-02	2	2017-10-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	journal-article	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assessment of the Technological Properties of High Temperature Fired Clayey Ceramics Incorporated with Glass Waste	10.4028/www.scientific.net/msf.820.449	http://dx.doi.org/10.4028/www.scientific.net/msf.820.449	NA	Materials Science Forum	NA	NA	NA	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Alline Sardinha Cordeiro Morais, Thais Mardegan Louzada, Veronica Scarpini Candido, Sergio Neves Monteiro, Carlos Mauricio Fontes Vieira	1662-9752	0	1.0	0.185	B3	2015-06-26	2021-01-12	2015-06	2022-03-31	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	25	25	0	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	journal-article	820	MSF	NA	NA	449-454	NA	NA	NA	NA	NA
Autoantibodies with beta-adrenergic activity from chronic chagasic patients induce cardiac arrhythmias and early afterdepolarization in a drug-induced LQT2 rabbit hearts	10.1016/j.ijcard.2017.02.066	http://dx.doi.org/10.1016/j.ijcard.2017.02.066	NA	International Journal of Cardiology	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Marco Antonio Vidal Jiménez, José H.M. Nascimento, Gustavo Monnerat, Leonardo Maciel, Claudia N. Paiva, Roberto Coury Pedrosa, Antonio C. Campos de Carvalho, Emiliano Medei	0167-5273	7	7.0	1.122	A2	2017-03-01	2018-09-03	NA	2022-03-30	NA	2017-08	78	10.1016	Elsevier BV	1	Crossref	30	30	6	Cardiology and Cardiovascular Medicine	journal-article	240	International Journal of Cardiology	2017-08	en	354-359	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA
Ballistic behavior of epoxy matrix composites reinforced with piassava fiber against high energy ammunition	10.1016/j.jmrt.2019.12.004	http://dx.doi.org/10.1016/j.jmrt.2019.12.004	NA	Journal of Materials Research and Technology	NA	NA	NA	2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Fabio Da Costa Garcia Filho, Michelle Souza Oliveira, Artur Camposo Pereira, Lucio Fabio Cassiano Nascimento, José Ricardo Gomes Matheus, Sergio Neves Monteiro	2238-7854	34	8.5	1.05	A1	2019-12-23	2020-10-08	NA	2023-06-17	2	2020-03	78	10.1016	Elsevier BV	1	Crossref	35	35	34	Metals and Alloys,Surfaces, Coatings and Films,Biomaterials,Ceramics and Composites	journal-article	9	Journal of Materials Research and Technology	2020-03	en	1734-1741	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA
Biogenic Amines: A Public Health Problem	10.5935/1984-6835.20130018	http://dx.doi.org/10.5935/1984-6835.20130018	NA	Revista Virtual de Química	NA	NA	NA	2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	M. Cardozo, K. S. C. Lima, T. C. C. França, A. L. S. Lima	1984-6835	4	0.7	0.151	B2	2014-08-01	2016-11-28	NA	2022-04-04	2	2013	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	4	General Chemistry	journal-article	5	NA	2013	en	NA	NA	NA	NA	NA	NA
Bone-Marrow-Derived Mesenchymal Stromal Cells (MSC) from Diabetic and Nondiabetic Rats Have Similar Therapeutic Potentials	10.5935/abc.20170176	http://dx.doi.org/10.5935/abc.20170176	NA	Arquivos Brasileiros de Cardiologia	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Vitória Santório de São José, Gustavo Monnerat, Barbara Guerra, Bruno Dias Paredes, Tais Hanae Kasai-Brunswick, Antonio Carlos Campos de Carvalho, Emiliano Medei	0066-782X	6	3.4	0.359	B2	2017-11-07	2021-03-05	NA	2023-01-09	NA	2017	22636	10.36660	Sociedade Brasileira de Cardiologia	1	Crossref	0	0	6	Cardiology and Cardiovascular Medicine	journal-article	NA	NA	2017	en	NA	NA	NA	NA	NA	NA
Brazilian Portuguese Version of the Amputee Body Image Scale: Cultural Adaptation and a Psychometric Analysis	10.1177/0031512518767755	http://dx.doi.org/10.1177/0031512518767755	NA	Perceptual and Motor Skills	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Lucilene Ferreira, Alinne G. M. Meregui, Miriam R. M. Mainenti, Patrícia S. Vigário, Angela N. Neves	0031-5125,1558-688X	2	2.8	0.465	B1	2018-04-10	2018-04-10	2018-04-09	2022-04-14	NA	2018-04-09	179	10.1177	SAGE Publications	1	Crossref	46	46	2	Sensory Systems,Experimental and Cognitive Psychology	journal-article	NA	Percept Mot Skills	NA	en	003151251876775	http://dx.doi.org/10.1177/sage-journals-update-policy	NA	NA	NA	NA
Cadê a minha cidade, ou o impacto da tragédia da Samarco na vida dos moradores de Bento Rodrigues	10.20435/inter.v18i2.1410	http://dx.doi.org/10.20435/inter.v18i2.1410	NA	Interações (Campo Grande)	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Maria Geralda Miranda, Reis Friede, Aline Cordeiro Rodrigues, Dafne Sampaio Almeida	1984-042X	6	NA	NA	A3	2017-05-30	2020-09-09	2017-05-30	2022-06-14	NA	2017-05-30	8337	10.20435	Universidade Catolica Dom Bosco	1	Crossref	0	0	6	NA	journal-article	NA	Inter	NA	NA	3-12	NA	NA	NA	NA	NA
CFD and Chemical Defense	10.5935/1984-6835.20140049	http://dx.doi.org/10.5935/1984-6835.20140049	NA	Revista Virtual de Química	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Ardson S. Vianna Jr., Fábio C. S. de Siqueira, Leandro R. Quintal, Antônio Luiz S. Lima	1984-6835	0	0.7	0.151	B2	2014-04-23	2016-11-28	NA	2022-03-31	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	General Chemistry	journal-article	6	NA	2014	en	NA	NA	NA	NA	NA	NA
Characterization of Precursor Clay Body and Weibull Analysis of the Compressive Strength of Structural Blocks	10.4028/www.scientific.net/msf.820.438	http://dx.doi.org/10.4028/www.scientific.net/msf.820.438	NA	Materials Science Forum	NA	NA	NA	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Neila Gondim Azeredo, Jonas Alexandre, Afonso Rangel Garcez de Azevedo, Gustavo de Castro Xavier, Veronica Scarpini Candido, Sergio Neves Monteiro	1662-9752	0	1.0	0.185	B3	2015-06-26	2021-01-12	2015-06	2022-03-31	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	10	10	0	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	journal-article	820	MSF	NA	NA	438-442	NA	NA	NA	NA	NA
Chemical composition and antinociceptive activity of the essential oil of Piper mollicomum and Piper rivinoides	10.5897/jmpr2013.4425	http://dx.doi.org/10.5897/jmpr2013.4425	NA	Journal of Medicinal Plants Research	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	P. de Souza Stefnia, S. Valverde Simone, F. Costa Nathalia, S. Calheiros Andrea, S. C. Lima Keila, S. Frutuoso Valber, L. S. Lima Antnio	1996-0875	8	NA	NA	B3	2014-11-06	2020-08-26	2014-06-10	2022-12-16	22	2014-06-10	3908	10.5897	Academic Journals	1	Crossref	26	26	8	Complementary and alternative medicine,Plant Science,Drug Discovery,Pharmaceutical Science,Pharmacology	journal-article	8	J. Med. Plants Res.	NA	NA	788-793	http://dx.doi.org/10.5897/crossmark_policy	NA	NA	NA	NA
Clay bricks added with effluent sludge from paper industry: Technical, economical and environmental benefits	10.1016/j.clay.2016.07.001	http://dx.doi.org/10.1016/j.clay.2016.07.001	NA	Applied Clay Science	NA	NA	NA	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Carlos Maurício F. Vieira, Regina M. Pinheiro, Ruben J. Sanchez Rodriguez, Veronica S. Candido, Sergio N. Monteiro	0169-1317	49	10.8	0.985	A1	2016-07-10	2019-08-10	NA	2023-06-28	NA	2016-11	78	10.1016	Elsevier BV	1	Crossref	58	58	49	Geochemistry and Petrology,Geology	journal-article	132-133	Applied Clay Science	2016-11	en	753-759	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA
COLETA SELETIVA DE RESÍDUO SÓLIDO URBANO: UM COMPARATIVO ENTRE AS CIDADES DE BELO HORIZONTE E RIO DE JANEIRO	10.15202/1981996x.2016v10n2p77	http://dx.doi.org/10.15202/1981996x.2016v10n2p77	NA	Semioses	NA	NA	NA	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Débora Coqui Coqui, Rodrigo Otavio De Souza, Roy Reis Friede	1981-996X	0	NA	NA	B3	2016-11-11	2016-11-14	2016-11-14	2022-04-03	2	2016-11-14	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	journal-article	10	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coleta seletiva e educação ambiental: reciclar valores e reduzir o lixo	10.25053/redufor.v4i11.924	http://dx.doi.org/10.25053/redufor.v4i11.924	NA	Educação Formação	NA	NA	NA	2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Reis Friede, Danielle Reis, Katia Avelar, Maria Geralda de Miranda	2448-3583	1	NA	NA	A3	2019-05-01	2021-06-01	2019-05-01	2022-04-04	11 mai/ago	2019-05-01	10693	10.25053	Educacao e Formacao	1	Crossref	24	24	1	General Medicine	journal-article	4	Redufor	NA	pt	117-141	http://dx.doi.org/10.25053/retratacao	NA	NA	LOCKSS	LOCKSS
Comparison of Turbulence Models in the Flow over a Backward Facing Step	10.25125/engineering-journal-ijoer-nov-2017-19	http://dx.doi.org/10.25125/engineering-journal-ijoer-nov-2017-19	NA	International Journal of Engineering Research and Science	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Priscila Pires Araujo, André Luiz Tenório Rezende	2395-6992	5	NA	NA	C	2017-12-10	2017-12-10	2017-11-30	2023-05-15	11	2017-11-30	10749	10.25125	AD Publications	1	Crossref	0	0	5	Industrial and Manufacturing Engineering,Metals and Alloys,Strategy and Management,Mechanical Engineering	journal-article	3	IJOER	NA	NA	88-93	NA	NA	NA	NA	NA
CONHECIMENTO DE ESTUDANTES DA EDUCAÇÃO BÁSICA SOBRE IGUALDADE DE GÊNERO	10.15202/1981996x.2018v12n2p51	http://dx.doi.org/10.15202/1981996x.2018v12n2p51	NA	Semioses	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Renata Corrêa Sinimbú Gomes, Maria Geralda De Miranda, Patricia Maria Dusek, Kátia Eliane Santos Avelar	1981-996X	0	NA	NA	B3	2018-09-06	2018-09-06	2018-07-27	2022-03-30	2	2018-07-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	journal-article	12	Semioses	NA	NA	51-66	NA	NA	NA	NA	NA
CONTROLE POSTURAL DE ATLETAS COM DIFERENTES GRAUS DE  DEFICIÊNCIA VISUAL	10.4025/jphyseduc.v29i1.2936	http://dx.doi.org/10.4025/jphyseduc.v29i1.2936	NA	Journal of Physical Education	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Claudemir do Nascimento Santos, Thiago Lemos de Carvalho, Lilian Ramiro Felício, Míriam Raquel  Meira Mainenti, Patrícia dos Santos Vigário	2448-2455	3	0.7	0.165	B1	2018-05-15	2018-05-15	2018	2023-03-27	1	2018	2451	10.4025	Universidade Estadual de Maringa	1	Crossref	0	0	3	Public Health, Environmental and Occupational Health,Education	journal-article	29	J Phys Educ	NA	NA	NA	NA	NA	NA	NA	NA
Degradation of Phenylethylamine and Tyramine by Gamma Radiation Process and Docking Studies of its Radiolytes	10.5935/0103-5053.20140100	http://dx.doi.org/10.5935/0103-5053.20140100	NA	Journal of the Brazilian Chemical Society	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Monique Cardozo, Stefânia Priscila de Souza, Keila dos Santos Cople Lima, Aline Alves Oliveira, Cláudia Moraes Rezende, Tanos Celmar Costa França, Antonio Luis dos Santos Lima	0103-5053	2	3.8	0.316	A2	2014-05-14	2017-04-13	NA	2022-03-31	NA	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	2	General Chemistry	journal-article	NA	NA	2014	en	NA	NA	NA	NA	NA	NA
Demografia e Estabilidade Ambiental	10.4322/pagmar.2446-4791.2015.010	http://dx.doi.org/10.4322/pagmar.2446-4791.2015.010	NA	Revista PAGMAR (Online)	NA	NA	NA	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Reis Friede	2446-4791	0	NA	NA	B3	2015-12-11	2016-10-31	NA	2022-04-03	4	2016	2869	10.4322	Editora Cubo	1	Crossref	0	0	0	General Medicine	journal-article	4	PAGMAR	2016	NA	82-84	NA	NA	NA	NA	NA
Development of a water recirculating system for bullfrog production: technological innovation for small farmers	10.1590/s1413-70542016000100006	http://dx.doi.org/10.1590/s1413-70542016000100006	NA	Ciência e Agrotecnologia	NA	NA	NA	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Sílvia Conceição Reis Pereira Mello, Roberto Rodrigues de Oliveira, Marcelo Maia Pereira, Eliane Rodrigues, Willian Nascimento Silva, José Teixeira de Seixas Filho	1413-7054	4	2.5	0.34	A2	2016-02-20	2020-09-15	NA	2022-12-31	1	2016-02	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	25	25	4	Soil Science,General Veterinary,Agronomy and Crop Science,Animal Science and Zoology,Food Science	journal-article	40	Ciênc. agrotec.	2016-02	NA	67-75	NA	NA	NA	NA	NA
DIAGNÓSTICO DO PRODUTOR FAMILIAR: DESENVOLVIMENTO LOCAL PELO ASSOCIATIVISMO EM RANICULTURA NO MUNICÍPIO DE ITAGUAÍ NO ESTADO DO RIO DE JANEIRO	10.15202/1981996x.2017v11n2p17	http://dx.doi.org/10.15202/1981996x.2017v11n2p17	NA	Semioses	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Adian de Paula Francisco Almeida, Félix Gargia Lopez, José Teixeira de Seixas Filho	1981-996X	1	NA	NA	B3	2017-10-31	2017-10-31	2017-10-27	2022-12-31	2	2017-10-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	journal-article	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
DISTRIBUIÇÃO FÍSICA DE GENES NO CROMOSSOMO COMO MÉTODO DE DIAGNÓSTICO	10.15202/1981996x.2017v11n3p77	http://dx.doi.org/10.15202/1981996x.2017v11n3p77	NA	Semioses	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Hugo Ribeiro, Daniela Ornellas, Iraci Leal, Zenildo Buarque de Moarais Filho, Silvana Daflon Castricini, Katia Eliane Santos Avelar, Rachel Santos de Menezes	1981-996X	0	NA	NA	B3	2017-12-20	2017-12-20	2017-12-20	2022-04-05	3	2017-12-20	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	journal-article	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOENÇA DE CUSHING POR MACROADENOMA: RELATO DE CASO	10.15202/1981996x.2018v12n3p93	http://dx.doi.org/10.15202/1981996x.2018v12n3p93	NA	Semioses	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Dara Galo Marques Salomé, Nathalia Gomes Da Silva, Marco Orsini, Eduardo Tavares Lima Trajano, Patricia Maria Dusek, José Teixeira De Seixas Filho	1981-996X	0	NA	NA	B3	2018-09-28	2019-09-12	2018-09-28	2022-03-29	3	2018-09-28	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	journal-article	12	Semioses	NA	NA	93-102	NA	NA	NA	NA	NA
Does the Kinesio Tape Provide more Knee Extensor Torque?	10.5812/asjsm.63946	http://dx.doi.org/10.5812/asjsm.63946	NA	Asian Journal of Sports Medicine	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Mauricio dos Santos Soares, Agnaldo Jose Lopes, Patricia dos Santos Vigario, Marcio Puglia Souza, Helcio Figueiredo da Costa, Lilian Ramiro Felicio	2008-000X,2008-7209	3	1.0	0.183	B1	2018-03-11	2023-01-15	2018-03-11	2023-01-16	1	2018-03-11	3819	10.5812	Briefland	1	Crossref	43	43	3	Orthopedics and Sports Medicine	journal-article	9	Asian J Sports Med	NA	NA	NA	http://dx.doi.org/10.5555/crossmark_policy	NA	NA	NA	NA
Dynamic-Mechanical Performance of Sponge Gourd Fiber Reinforced Polyester Composites	10.4028/www.scientific.net/msf.869.203	http://dx.doi.org/10.4028/www.scientific.net/msf.869.203	NA	Materials Science Forum	NA	NA	NA	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Verônica Scarpini Cândido, Michel Picanço Oliveira, Sergio Neves Monteiro	1662-9752	1	1.0	0.185	B3	2016-08-31	2021-01-12	2016-08	2022-04-04	NA	2016-08	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	0	0	1	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	journal-article	869	MSF	NA	NA	203-208	NA	NA	NA	NA	NA
EDUCAÇÃO AMBIENTAL E INTERDISCIPLINARIDADE SABERES PRÁTICOS E TEÓRICOS NO PROCESSO DE ENSINO-APRENDIZAGEM	10.15202/1981996x.2017v11n4p8	http://dx.doi.org/10.15202/1981996x.2017v11n4p8	NA	Semioses	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Alexandre De Jesus Pereira, Reis Friede, Fábio Narduchi, Maria Geralda de Miranda	1981-996X	0	NA	NA	B3	2017-12-28	2017-12-28	2017-12-26	2022-04-04	4	2017-12-26	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	journal-article	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
Efficacy of Ultraviolet-C Light to Eliminate <i>S</i>
                        <i>taphylococcus Aureus</i>
 on Precooked Shredded Bullfrog Back Meat	10.1111/jfs.12178	http://dx.doi.org/10.1111/jfs.12178	NA	Journal of Food Safety	NA	NA	NA	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	H.L.A. Silva, M.P. Costa, B.S. Frasao, E.F.M. Mesquita, S.C.R.P. Mello, C.A. Conte-Junior, R.M. Franco, Z.B. Miranda	0149-6085	9	4.7	0.435	A4	2015-03-11	2021-07-06	2015-03-11	2022-12-21	3	2015-03-11	311	10.1111	Wiley	1	Crossref	26	26	9	Microbiology,Food Science,Parasitology	journal-article	35	J Food Saf	2015-08	en	318-323	NA	Portico	<i>Staphylococcus Aureus</i>
 Reduction in Bullfrog Meat	NA	NA
eNOS gene haplotype is indirectly associated with the recovery of cardiovascular autonomic modulation from exercise	10.1016/j.autneu.2014.09.001	http://dx.doi.org/10.1016/j.autneu.2014.09.001	NA	Autonomic Neuroscience	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Bruno M. Silva, Thales C. Barbosa, Fabricia J. Neves, Allan K. Sales, Natalia G. Rocha, Renata F. Medeiros, Felipe S. Pereira, Vinicius P. Garcia, Fabiane T. Cardoso, Antonio C.L. Nobrega	1566-0702	0	4.3	0.69	A3	2014-09-09	2022-04-16	NA	2022-04-16	NA	2014-12	78	10.1016	Elsevier BV	1	Crossref	51	51	0	Cellular and Molecular Neuroscience,Neurology (clinical),Endocrine and Autonomic Systems	journal-article	186	Autonomic Neuroscience	2014-12	en	77-84	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA
Estádio do Maracanã: percepções a partir da reestruturação arquitetônica de 2010	10.1016/j.rbce.2018.01.006	http://dx.doi.org/10.1016/j.rbce.2018.01.006	NA	Revista Brasileira de Ciências do Esporte	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Ana Beatriz Correia de Oliveira Tavares, Sebastião Josué Votre, Silvio de Cassio Costa Telles, Fabiano Pries Devide	0101-3289	0	0.7	0.216	B1	2018-02-03	2020-01-02	NA	2022-03-31	2	2018-04	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	17	17	0	Physical Therapy, Sports Therapy and Rehabilitation,Health (social science)	journal-article	40	Revista Brasileira de Ciências do Esporte	2018-04	pt	205-212	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA
ESTÁDIO DO MARACANÃ: UM ESTUDO COMPARATIVO ENTRE AS REPRESENTAÇÕES SOCIAIS DOS TORCEDORES SOBRE O ANTIGO E O NOVO LUGAR DO FUTEBOL	10.22456/1982-8918.75681	http://dx.doi.org/10.22456/1982-8918.75681	NA	Movimento (ESEFID/UFRGS)	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Ana Beatriz Correia de Oliveira Tavares, Silvio De Cassio Costa Telles, Sebastião Josué Votre	1982-8918,0104-754X	0	0.8	0.233	B1	2018-07-10	2018-07-10	2018-06-24	2022-04-05	2	2018-06-24	9749	10.22456	Universidade Federal do Rio Grande do Sul	1	Crossref	0	0	0	Education	journal-article	24	Movimento	NA	NA	353	NA	NA	NA	NA	NA
Estudo sobre Igualdade de Gênero em uma Escola de Ensino Médio de Comunidade do Rio de Janeiro, RJ	10.17921/2447-8733.2019v20n2p201-209	http://dx.doi.org/10.17921/2447-8733.2019v20n2p201-209	NA	Revista de Ensino, Educação e Ciências Humanas	NA	NA	NA	2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Renata Corrêa Sinimbú Almeida, Maria Geralda De Miranda, Roy Reis Friede, Patricia Maria Dusek, Kátia Eliane Santos Avelar	2447-8733	0	NA	NA	A3	2019-07-04	2019-07-04	2019-06-27	2022-03-30	2	2019-06-27	7245	10.17921	Editora e Distribuidora Educacional	1	Crossref	0	0	0	General Earth and Planetary Sciences,General Engineering,General Environmental Science	journal-article	20	Rev. Ens. Educ. Cienc. Hum.	NA	NA	201	NA	NA	NA	NA	NA
Estudos Etnofarmacológicos de óelos essenciais com atividade larvicida contra o Mosquito Aedes Aegypt	10.15202/1981996x.2017v11n1p86	http://dx.doi.org/10.15202/1981996x.2017v11n1p86	NA	Semioses	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Diego G. da R. Voris, Carlos H. V. Afonso, Carlos A. C. Almeida Filho, Conceição O. J. Fernandes, Danielle Q. M. Brito, Caroline S. Moraes, Keila S. C. Lima, José B. P. Lima, Maria G. Mirand, Antônio Luis dos Santos Lima, Katia E. S. Avelar, Reis Friede, Antonio L. S. Lima	1981-996X	2	NA	NA	B3	2017-04-22	2017-04-22	2017-04-21	2022-04-06	1	2017-04-21	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	journal-article	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
Exposure Limits and its Applications in Chemical Warfare	10.5935/1984-6835.20140038	http://dx.doi.org/10.5935/1984-6835.20140038	NA	Revista Virtual de Química	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Erick B. F. Galante, Antônio Luís S. Lima, Tanos C. C. França, Assed N. Haddad	1984-6835	0	0.7	0.151	B2	2014-04-23	2016-11-28	NA	2022-04-02	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	General Chemistry	journal-article	6	NA	2014	en	NA	NA	NA	NA	NA	NA
Fluorescent Lamp Glass Waste Incorporation into Clay Ceramic: A Perfect Solution	10.1007/s11837-016-1985-z	http://dx.doi.org/10.1007/s11837-016-1985-z	NA	JOM	NA	NA	NA	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Alline Sardinha Cordeiro Morais, Carlos Maurício Fontes Vieira, Rubén Jesus Sanchez Rodriguez, Sergio Neves Monteiro, Veronica Scarpini Candido, Carlos Luiz Ferreira	1047-4838,1543-1851	9	4.9	0.569	A2	2016-06-17	2017-06-24	2016-06-17	2023-03-09	9	2016-06-17	297	10.1007	Springer Science and Business Media LLC	1	Crossref	58	58	9	General Engineering,General Materials Science	journal-article	68	JOM	2016-09	en	2425-2434	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	NA
